"indicateurs","Février","Janvier","Mars"
"Affrontements entre bandes",5,5,9
"Dégradations de mobilier urbain",48,18,29
"Ensemble des INVUS",457,511,590
"Incendies de biens publics",21,24,16
"Incendies de poubelles",72,93,76
"Incendies de véhicules",154,216,154
"Jets de projectiles",44,40,89
"Occupation de halls d'immeubles",13,17,15
"Rodéos automobiles",70,68,151
"Violences collectives à l'encontre des services de sécurité",30,30,51
"Affrontements entre bandes",5,156,9
"Dégradations de mobilier urbain",177,147,183
"Ensemble des INVUS",4000,4848,5205
"Incendies de biens publics",198,264,205
"Incendies de poubelles",602,773,649
"Incendies de véhicules",1439,2082,1605
"Jets de projectiles",282,245,365
"Occupation de halls d'immeubles",71,78,64
"Rodéos automobiles",928,824,1721
"Violences collectives à l'encontre des services de sécurité",298,279,404
"Affrontements entre bandes",0,0,0
"Dégradations de mobilier urbain",22,33,32
"Ensemble des INVUS",2994,3119,3731
"Incendies de biens publics",97,130,112
"Incendies de poubelles",94,184,125
"Incendies de véhicules",1443,1506,1526
"Jets de projectiles",208,247,176
"Occupation de halls d'immeubles",37,35,5
"Rodéos automobiles",903,787,1540
"Violences collectives à l'encontre des services de sécurité",190,197,215
"Affrontements entre bandes",0,0,0
"Dégradations de mobilier urbain",0,0,0
"Ensemble des INVUS",328,399,327
"Incendies de biens publics",177,240,189
"Incendies de poubelles",0,0,0
"Incendies de véhicules",0,0,0
"Jets de projectiles",0,0,0
"Occupation de halls d'immeubles",58,61,49
"Rodéos automobiles",0,0,0
"Violences collectives à l'encontre des services de sécurité",93,98,89
"Affrontements entre bandes",0,151,0
"Dégradations de mobilier urbain",129,129,154
"Ensemble des INVUS",3215,3938,4288
"Incendies de biens publics",0,0,0
"Incendies de poubelles",530,680,573
"Incendies de véhicules",1285,1866,1451
"Jets de projectiles",238,205,276
"Occupation de halls d'immeubles",0,0,0
"Rodéos automobiles",858,756,1570
"Violences collectives à l'encontre des services de sécurité",175,151,264
