Marque,Véhicule,Année,Type,Moteur,Portée (km),Prix (EUR)
Tesla,Model S,2022,Berline,Électrique,652,89900
Nissan,Leaf,2023,Compacte,Électrique,385,32900
BMW,i3,2024,Citadine,Électrique,290,39900
Chevrolet,Bolt EUV,2022,VUS,Électrique,402,39995
Renault,ZOE,2023,Compacte,Électrique,395,29990
Hyundai,Kona Electric,2024,VUS,Électrique,415,38490
Volkswagen,ID.4,2023,VUS,Électrique,402,39995
Audi,e-tron,2022,VUS,Électrique,355,67900
Ford,Mustang Mach-E,2024,VUS,Électrique,370,43595
Porsche,Taycan,2023,Berline,Électrique,323,84900
Toyota,RAV4 Prime,2022,VUS,Hybride rechargeable,84 (électrique),47990
Kia,Niro EV,2024,VUS,Électrique,385,39490
Mazda,MX-30,2023,Compacte,Électrique,200,33900
Peugeot,208,2022,Citadine,Électrique,340,30000
Jaguar,I-PACE,2023,VUS,Électrique,377,71900
Fiat,500e,2024,Citadine,Électrique,320,29900
Volvo,XC40 Recharge,2023,VUS,Électrique,418,55900
Mini,Cooper SE,2022,Citadine,Électrique,234,31800
Smart,EQ Fortwo,2024,Citadine,Électrique,133,23800
Honda,Clarity PHEV,2023,Berline,Hybride rechargeable,76 (électrique),33550
